id,lat,lon,connected_to
37.8688204-122.2589601,37.8688204,-122.2589601,37.8688478-122.2588819
37.8688478-122.2588819,37.8688478,-122.2588819,37.8688588-122.2588073
37.8688588-122.2588073,37.8688588,-122.2588073,37.8688675-122.2588087
37.8688675-122.2588087,37.8688675,-122.2588087,37.8689371-122.2588222
37.8689371-122.2588222,37.8689371,-122.2588222,37.8689085-122.2590658
37.8689085-122.2590658,37.8689085,-122.2590658,37.8690973-122.2590968
37.8690973-122.2590968,37.8690973,-122.2590968,37.8693638-122.259147
37.8693638-122.259147,37.8693638,-122.259147,37.8693614-122.2591643
37.8693614-122.2591643,37.8693614,-122.2591643,37.8695376-122.2592013
37.8695376-122.2592013,37.8695376,-122.2592013,37.8697146-122.2592377
37.8697146-122.2592377,37.8697146,-122.2592377,37.8697167-122.2592211
37.8697167-122.2592211,37.8697167,-122.2592211,37.8699843-122.2592701
37.8699843-122.2592701,37.8699843,-122.2592701,37.8701614-122.2593059
37.8701614-122.2593059,37.8701614,-122.2593059,37.8701984-122.259318
37.8701984-122.259318,37.8701984,-122.259318,37.8702411-122.259388
37.8702411-122.259388,37.8702411,-122.259388,37.8702482-122.2594464
37.8702482-122.2594464,37.8702482,-122.2594464,37.8702403-122.259509
37.8702403-122.259509,37.8702403,-122.259509,37.8702317-122.2595746
37.8702317-122.2595746,37.8702317,-122.2595746,37.8701386-122.2596359
37.8701386-122.2596359,37.8701386,-122.2596359,37.8700907-122.2596255
37.8700907-122.2596255,37.8700907,-122.2596255,37.870001-122.2596065
37.870001-122.2596065,37.870001,-122.2596065,37.8699882-122.2596386
37.8699882-122.2596386,37.8699882,-122.2596386,37.8698104-122.2596029
37.8698104-122.2596029,37.8698104,-122.2596029,37.8698037-122.2596433
37.8698037-122.2596433,37.8698037,-122.2596433,37.8696828-122.2596227
37.8696828-122.2596227,37.8696828,-122.2596227,37.8696754-122.2596732
37.8696754-122.2596732,37.8696754,-122.2596732,37.8696125-122.2596591
37.8696125-122.2596591,37.8696125,-122.2596591,37.869618-122.2596246
37.869618-122.2596246,37.869618,-122.2596246,37.8696043-122.2596218
37.8696043-122.2596218,37.8696043,-122.2596218,37.8694938-122.2595989
37.8694938-122.2595989,37.8694938,-122.2595989,37.8694233-122.2595808
37.8694233-122.2595808,37.8694233,-122.2595808,37.8694185-122.2595796
37.8694185-122.2595796,37.8694185,-122.2595796,37.8694351-122.2594329
37.8694351-122.2594329,37.8694351,-122.2594329,37.8688761-122.2593157
37.8688761-122.2593157,37.8688761,-122.2593157,37.8688624-122.2594246
37.8688624-122.2594246,37.8688624,-122.2594246,37.8688044-122.2594121
37.8688044-122.2594121,37.8688044,-122.2594121,37.8687724-122.2594164
37.8687724-122.2594164,37.8687724,-122.2594164,37.8687606-122.259418
37.8687606-122.259418,37.8687606,-122.259418,37.8687886-122.2592009
37.8687886-122.2592009,37.8687886,-122.2592009,37.8688204-122.2589601
